"Source","Destination","Role","RoleSlug","System","Workspace"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Loaded-Vibes-Plugin-Authority-Package/README.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Loaded-Vibes-Plugin-Authority-Package/README.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Loaded-Vibes-Plugin-Authority-Package/SOURCE-NOTES.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Loaded-Vibes-Plugin-Authority-Package/SOURCE-NOTES.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Ontologies-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Ontologies.Authoritative-Source-Spec.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Ontologies-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Ontologies.Authoritative-Source-Spec.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Ontologies-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Ontologies.Canonical-Catalog.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Ontologies-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Ontologies.Canonical-Catalog.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Ontologies-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Ontologies.Generic-Reference-Implementation.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Ontologies-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Ontologies.Generic-Reference-Implementation.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Ontologies-Authority-Package/README.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Ontologies-Authority-Package/README.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Simples-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Simples.Authoritative-Source-Spec.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Simples-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Simples.Authoritative-Source-Spec.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Simples-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Simples.Canonical-Catalog.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Simples-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Simples.Canonical-Catalog.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Simples-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Simples.Generic-Reference-Implementation.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Simples-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Simples.Generic-Reference-Implementation.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Simples-Authority-Package/README.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Simples-Authority-Package/README.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Website-Design-Authority-Package/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Hipster-Stack.Technologies.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Website-Design-Authority-Package/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Hipster-Stack.Technologies.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Website-Design-Authority-Package/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Systems-That-Remember.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Website-Design-Authority-Package/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Systems-That-Remember.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Website-Design-Authority-Package/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Template-Demo-Website-Copy.md","Prömpter/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Website-Design-Authority-Package/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Template-Demo-Website-Copy.md","Prömpter","prompter","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Website-Design-Authority-Package/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Website-Design-Content-Specification.md","Prömpter/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Website-Design-Authority-Package/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Website-Design-Content-Specification.md","Prömpter","prompter","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/CODEPENDENTCODING.CODEX-HANDOFF.md","Chief of Staff/Workspaces/Codependent Coding/CODEPENDENTCODING.CODEX-HANDOFF.md","Chief of Staff","chief-of-staff","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/CODEPENDENTCODING.EXECUTION.md","Execution/Workspaces/Codependent Coding/CODEPENDENTCODING.EXECUTION.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/CODEPENDENTCODING.GOVERNANCE.md","DevNotes/Workspaces/Codependent Coding/CODEPENDENTCODING.GOVERNANCE.md","DevNotes","devnotes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/CODEPENDENTCODING.TERMINOLOGY.md","Prömpter/Workspaces/Codependent Coding/CODEPENDENTCODING.TERMINOLOGY.md","Prömpter","prompter","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/CODEPENDENTCODING.TREE.md","DevNotes/Workspaces/Codependent Coding/CODEPENDENTCODING.TREE.md","DevNotes","devnotes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/README.md","DevNotes/Workspaces/Codependent Coding/README.md","DevNotes","devnotes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CTRLPLUS/10.PROJECTS.CTRLPLUS.Architecture.Boundaries.Contract.md","Vibes/Workspaces/ctrlplus/10.PROJECTS.CTRLPLUS.Architecture.Boundaries.Contract.md","Vibes","vibes","","ctrlplus"
"10 PROJECTS/10.PROJECTS.CTRLPLUS/10.PROJECTS.CTRLPLUS.Architecture.Core-Principles.md","Vibes/Workspaces/ctrlplus/10.PROJECTS.CTRLPLUS.Architecture.Core-Principles.md","Vibes","vibes","","ctrlplus"
"10 PROJECTS/10.PROJECTS.CTRLPLUS/10.PROJECTS.CTRLPLUS.Architecture.Server-First-Blueprint.md","Vibes/Workspaces/ctrlplus/10.PROJECTS.CTRLPLUS.Architecture.Server-First-Blueprint.md","Vibes","vibes","","ctrlplus"
"10 PROJECTS/10.PROJECTS.CTRLPLUS/10.PROJECTS.CTRLPLUS.Architecture.Target-Directory-Tree.md","Vibes/Workspaces/ctrlplus/10.PROJECTS.CTRLPLUS.Architecture.Target-Directory-Tree.md","Vibes","vibes","","ctrlplus"
"10 PROJECTS/10.PROJECTS.CTRLPLUS/10.PROJECTS.CTRLPLUS.Codex.Visualizer-Generation-Pipeline.Spec.md","Chief of Staff/Workspaces/ctrlplus/10.PROJECTS.CTRLPLUS.Codex.Visualizer-Generation-Pipeline.Spec.md","Chief of Staff","chief-of-staff","","ctrlplus"
"10 PROJECTS/10.PROJECTS.CTRLPLUS/10.PROJECTS.CTRLPLUS.Codex.Wrap-Visualizer-Migration.Spec.md","Chief of Staff/Workspaces/ctrlplus/10.PROJECTS.CTRLPLUS.Codex.Wrap-Visualizer-Migration.Spec.md","Chief of Staff","chief-of-staff","","ctrlplus"
"10 PROJECTS/10.PROJECTS.CTRLPLUS/10.PROJECTS.CTRLPLUS.Execution.Audit.md","Trust Issues/Workspaces/ctrlplus/10.PROJECTS.CTRLPLUS.Execution.Audit.md","Trust Issues","trust-issues","","ctrlplus"
"10 PROJECTS/10.PROJECTS.CTRLPLUS/10.PROJECTS.CTRLPLUS.Execution.Refactor.md","Execution/Workspaces/ctrlplus/10.PROJECTS.CTRLPLUS.Execution.Refactor.md","Execution","execution","","ctrlplus"
"10 PROJECTS/10.PROJECTS.CTRLPLUS/10.PROJECTS.CTRLPLUS.Execution.Wrap-Catalog-Visualizer-Refactor.md","Execution/Workspaces/ctrlplus/10.PROJECTS.CTRLPLUS.Execution.Wrap-Catalog-Visualizer-Refactor.md","Execution","execution","","ctrlplus"
"10 PROJECTS/10.PROJECTS.CTRLPLUS/10.PROJECTS.CTRLPLUS.Project.Map.md","Chief of Staff/Workspaces/ctrlplus/10.PROJECTS.CTRLPLUS.Project.Map.md","Chief of Staff","chief-of-staff","","ctrlplus"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Agent-Ops.Inference-Efficiency-Engineering.Standard.md","DevNotes/Workspaces/rateltd/10.RATELTD.Agent-Ops.Inference-Efficiency-Engineering.Standard.md","DevNotes","devnotes","","rateltd"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Architecture.Plan.md","Vibes/Workspaces/rateltd/10.RATELTD.Architecture.Plan.md","Vibes","vibes","","rateltd"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Codex.Prompts.md","Prömpter/Workspaces/rateltd/10.RATELTD.Codex.Prompts.md","Prömpter","prompter","","rateltd"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Codex.Work-Packages.md","DevNotes/Workspaces/rateltd/10.RATELTD.Codex.Work-Packages.md","DevNotes","devnotes","","rateltd"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Decisions-and-Risks.md","DevNotes/Workspaces/rateltd/10.RATELTD.Decisions-and-Risks.md","DevNotes","devnotes","","rateltd"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Execution.Task-Matrix.md","Execution/Workspaces/rateltd/10.RATELTD.Execution.Task-Matrix.md","Execution","execution","","rateltd"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Features.Inventory.md","DevNotes/Workspaces/rateltd/10.RATELTD.Features.Inventory.md","DevNotes","devnotes","","rateltd"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Integrations.Plan.Contract.md","Vibes/Workspaces/rateltd/10.RATELTD.Integrations.Plan.Contract.md","Vibes","vibes","","rateltd"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Modules.Specifications.Contract.md","DevNotes/Workspaces/rateltd/10.RATELTD.Modules.Specifications.Contract.md","DevNotes","devnotes","","rateltd"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Product.Comprehensive-Scope.md","Chief of Staff/Workspaces/rateltd/10.RATELTD.Product.Comprehensive-Scope.md","Chief of Staff","chief-of-staff","","rateltd"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Product.Local-Context-Protocol.Contract.md","Chief of Staff/Workspaces/rateltd/10.RATELTD.Product.Local-Context-Protocol.Contract.md","Chief of Staff","chief-of-staff","","rateltd"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Product.Local-Operations-Console.Contract.md","Chief of Staff/Workspaces/rateltd/10.RATELTD.Product.Local-Operations-Console.Contract.md","Chief of Staff","chief-of-staff","","rateltd"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Product.Protocol-Completeness.Contract.md","Chief of Staff/Workspaces/rateltd/10.RATELTD.Product.Protocol-Completeness.Contract.md","Chief of Staff","chief-of-staff","","rateltd"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Product.Vision.md","Chief of Staff/Workspaces/rateltd/10.RATELTD.Product.Vision.md","Chief of Staff","chief-of-staff","","rateltd"
"10 PROJECTS/10.PROJECTS.RATELTD/10.RATELTD.Project.Map.md","Chief of Staff/Workspaces/rateltd/10.RATELTD.Project.Map.md","Chief of Staff","chief-of-staff","","rateltd"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Backend.Engineering-Prompts.Legacy.md","Prömpter/Workspaces/vouch/10.VOUCH.Backend.Engineering-Prompts.Legacy.md","Prömpter","prompter","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Backend.Implementation-Matrix.Legacy.md","Execution/Workspaces/vouch/10.VOUCH.Backend.Implementation-Matrix.Legacy.md","Execution","execution","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Backend.Inventory.Legacy.md","Execution/Workspaces/vouch/10.VOUCH.Backend.Inventory.Legacy.md","Execution","execution","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Backend.Taxonomy.Legacy.md","Execution/Workspaces/vouch/10.VOUCH.Backend.Taxonomy.Legacy.md","Execution","execution","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Blueprints.Legacy.md","Vibes/Workspaces/vouch/10.VOUCH.Blueprints.Legacy.md","Vibes","vibes","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Codex.Dev-Prompts.Legacy.md","Prömpter/Workspaces/vouch/10.VOUCH.Codex.Dev-Prompts.Legacy.md","Prömpter","prompter","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Execution.Pawned.Legacy.md","Execution/Workspaces/vouch/10.VOUCH.Execution.Pawned.Legacy.md","Execution","execution","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Execution.What-Next.md","Execution/Workspaces/vouch/10.VOUCH.Execution.What-Next.md","Execution","execution","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Frontend.Codex-Prompts.Legacy.md","Prömpter/Workspaces/vouch/10.VOUCH.Frontend.Codex-Prompts.Legacy.md","Prömpter","prompter","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Frontend.Implementation-Matrix.Legacy.md","Execution/Workspaces/vouch/10.VOUCH.Frontend.Implementation-Matrix.Legacy.md","Execution","execution","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Legal.Disclaimer.md","Fuck You Pay Me/Workspaces/vouch/10.VOUCH.Legal.Disclaimer.md","Fuck You Pay Me","fuck-you-pay-me","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Pages.Taxonomy.Legacy.md","DevNotes/Workspaces/vouch/10.VOUCH.Pages.Taxonomy.Legacy.md","DevNotes","devnotes","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Payments.Stripe-Setup-Guide.Legacy.md","Fuck You Pay Me/Workspaces/vouch/10.VOUCH.Payments.Stripe-Setup-Guide.Legacy.md","Fuck You Pay Me","fuck-you-pay-me","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Product.Doctrine.md","Chief of Staff/Workspaces/vouch/10.VOUCH.Product.Doctrine.md","Chief of Staff","chief-of-staff","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Product.Gas-Pump-Analogy.md","Chief of Staff/Workspaces/vouch/10.VOUCH.Product.Gas-Pump-Analogy.md","Chief of Staff","chief-of-staff","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Product.Messaging.md","Chief of Staff/Workspaces/vouch/10.VOUCH.Product.Messaging.md","Chief of Staff","chief-of-staff","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Product.Overview.Legacy.md","Chief of Staff/Workspaces/vouch/10.VOUCH.Product.Overview.Legacy.md","Chief of Staff","chief-of-staff","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Product.Prd.Legacy.md","Chief of Staff/Workspaces/vouch/10.VOUCH.Product.Prd.Legacy.md","Chief of Staff","chief-of-staff","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Product.Pricing.Legacy.md","Chief of Staff/Workspaces/vouch/10.VOUCH.Product.Pricing.Legacy.md","Chief of Staff","chief-of-staff","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Product.Trust-Model.md","Trust Issues/Workspaces/vouch/10.VOUCH.Product.Trust-Model.md","Trust Issues","trust-issues","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Project.Map.md","Chief of Staff/Workspaces/vouch/10.VOUCH.Project.Map.md","Chief of Staff","chief-of-staff","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Routes.Implementation-Matrix.Legacy.md","Execution/Workspaces/vouch/10.VOUCH.Routes.Implementation-Matrix.Legacy.md","Execution","execution","","vouch"
"10 PROJECTS/10.PROJECTS.VOUCH/10.VOUCH.Source-of-Truth.Legacy.md","DevNotes/Workspaces/vouch/10.VOUCH.Source-of-Truth.Legacy.md","DevNotes","devnotes","","vouch"
"20 DOCUMENTATION/20.DOCUMENTATION.CHATGPT/20.DOCUMENTATION.CHATGPT.Chatgpt_Agent.md","DevNotes/Reference/20.DOCUMENTATION.CHATGPT/20.DOCUMENTATION.CHATGPT.Chatgpt_Agent.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.CHATGPT/20.DOCUMENTATION.CHATGPT.Chatgpt_Developer_Mode.md","DevNotes/Reference/20.DOCUMENTATION.CHATGPT/20.DOCUMENTATION.CHATGPT.Chatgpt_Developer_Mode.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.CHATGPT/20.DOCUMENTATION.CHATGPT.Projects_In_Chatgpt.md","DevNotes/Reference/20.DOCUMENTATION.CHATGPT/20.DOCUMENTATION.CHATGPT.Projects_In_Chatgpt.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.CHATGPT/20.DOCUMENTATION.CHATGPT.Tasks_In_Chatgpt.md","DevNotes/Reference/20.DOCUMENTATION.CHATGPT/20.DOCUMENTATION.CHATGPT.Tasks_In_Chatgpt.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.Documentation.Map.md","DevNotes/Reference/20.DOCUMENTATION.Documentation.Map.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.GITHUB/20.DOCUMENTATION.GITHUB.Awesome_Github_05-02-26.md","DevNotes/Reference/20.DOCUMENTATION.GITHUB/20.DOCUMENTATION.GITHUB.Awesome_Github_05-02-26.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Agents.md","DevNotes/Reference/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Agents.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Autopipeline.md","DevNotes/Reference/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Autopipeline.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Controlnet_With_Flux.1.md","DevNotes/Reference/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Controlnet_With_Flux.1.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Docker_Spaces.md","DevNotes/Reference/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Docker_Spaces.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Grdio_Instructions.md","DevNotes/Reference/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Grdio_Instructions.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Image-Text-to-Image.md","DevNotes/Reference/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Image-Text-to-Image.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Qwen_Image_Edit_2511.md","DevNotes/Reference/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Qwen_Image_Edit_2511.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Qwenimage.md","DevNotes/Reference/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Qwenimage.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Spaces_Configuration_Reference.md","DevNotes/Reference/20.DOCUMENTATION.HUGGINGFACE/20.DOCUMENTATION.HUGGINGFACE.Spaces_Configuration_Reference.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.OBSIDIAN/20.DOCUMENTATION.OBSIDIAN.Calendar-Plugin.md","DevNotes/Reference/20.DOCUMENTATION.OBSIDIAN/20.DOCUMENTATION.OBSIDIAN.Calendar-Plugin.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.OBSIDIAN/20.DOCUMENTATION.OBSIDIAN.Dataview.md","DevNotes/Reference/20.DOCUMENTATION.OBSIDIAN/20.DOCUMENTATION.OBSIDIAN.Dataview.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.OBSIDIAN/20.DOCUMENTATION.OBSIDIAN.Kanban-Plugin.md","DevNotes/Reference/20.DOCUMENTATION.OBSIDIAN/20.DOCUMENTATION.OBSIDIAN.Kanban-Plugin.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.OBSIDIAN/20.DOCUMENTATION.OBSIDIAN.Tasks.md","DevNotes/Reference/20.DOCUMENTATION.OBSIDIAN/20.DOCUMENTATION.OBSIDIAN.Tasks.md","DevNotes","devnotes","devnotes",""
"20 DOCUMENTATION/20.DOCUMENTATION.OBSIDIAN/20.DOCUMENTATION.OBSIDIAN.Templater-Plugin.md","DevNotes/Reference/20.DOCUMENTATION.OBSIDIAN/20.DOCUMENTATION.OBSIDIAN.Templater-Plugin.md","DevNotes","devnotes","devnotes",""
"30 DEEP RESEARCH/30.DEEPRESEARCH.Ai-Video.Workflow-Products.Viability.md","Trust Issues/Reference/Research/30.DEEPRESEARCH.Ai-Video.Workflow-Products.Viability.md","Trust Issues","trust-issues","",""
"30 DEEP RESEARCH/30.DEEPRESEARCH.Codependentcoding.Engineering-Doctrine.Reference-System.md","Trust Issues/Reference/Research/30.DEEPRESEARCH.Codependentcoding.Engineering-Doctrine.Reference-System.md","Trust Issues","trust-issues","",""
"30 DEEP RESEARCH/30.DEEPRESEARCH.Ctrlplus.Codebase.Implementation-Audit.md","Trust Issues/Reference/Research/30.DEEPRESEARCH.Ctrlplus.Codebase.Implementation-Audit.md","Trust Issues","trust-issues","",""
"30 DEEP RESEARCH/30.DEEPRESEARCH.Ctrlplus.Visualizer.Market-and-Implementation.md","Trust Issues/Reference/Research/30.DEEPRESEARCH.Ctrlplus.Visualizer.Market-and-Implementation.md","Trust Issues","trust-issues","",""
"30 DEEP RESEARCH/30.DEEPRESEARCH.Devnotes.Deep-Research.Map.md","Trust Issues/Reference/Research/30.DEEPRESEARCH.Devnotes.Deep-Research.Map.md","Trust Issues","trust-issues","",""
"30 DEEP RESEARCH/30.DEEPRESEARCH.Hipsterstack.Engineering-Knowledge-System.md","Trust Issues/Reference/Research/30.DEEPRESEARCH.Hipsterstack.Engineering-Knowledge-System.md","Trust Issues","trust-issues","",""
"30 DEEP RESEARCH/30.DEEPRESEARCH.Infrastructure.Security.Vpn-and-Anonymous-Browsing.md","Trust Issues/Reference/Research/30.DEEPRESEARCH.Infrastructure.Security.Vpn-and-Anonymous-Browsing.md","Trust Issues","trust-issues","",""
"40 ARCHIVE/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Cycles.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Cycles.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Dev-Cycles.Source-Document.md","DevNotes/Archive/Legacy/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Dev-Cycles.Source-Document.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Mental-Model.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Mental-Model.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Mermaid-Chart.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Mermaid-Chart.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Procedures.Workflow.md","DevNotes/Archive/Legacy/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Procedures.Workflow.md","DevNotes","devnotes","",""
